week_start,defects_inflow_total,defects_outflow_total,severity_critical_in,severity_high_in,severity_medium_in,severity_low_in,avg_resolution_time_hours,backlog_total
2024-01-01,98,24,0,2,96,0,36,74
2024-01-08,129,35,0,4,125,0,36,168
2024-01-15,102,73,0,0,101,1,36,197
2024-01-22,71,36,0,2,68,1,36,232
2024-01-29,104,70,0,1,103,0,36,266
2024-02-05,89,39,0,0,89,0,36,316
2024-02-12,76,34,0,0,76,0,36,358
2024-02-19,92,34,0,2,90,0,36,416
2024-02-26,79,37,0,0,79,0,36,458
2024-03-04,145,89,0,3,139,3,36,514
2024-03-11,123,41,0,1,122,0,36,596
2024-03-18,78,61,0,1,77,0,36,613
2024-03-25,79,48,0,0,79,0,36,644
2024-04-01,151,86,0,0,151,0,36,709
2024-04-08,114,74,0,1,113,0,36,749
2024-04-15,93,61,0,0,93,0,36,781
2024-04-22,68,42,0,0,67,1,36,807
2024-04-29,64,43,0,0,64,0,36,828
2024-05-06,78,35,0,1,77,0,36,871
2024-05-13,68,24,0,0,68,0,36,915
2024-05-20,161,62,0,0,160,1,36,1014
2024-05-27,93,81,0,0,93,0,36,1026
2024-06-03,97,40,0,0,97,0,36,1083
2024-06-10,93,44,0,0,93,0,36,1132
2024-06-17,59,40,0,0,59,0,36,1151
2024-06-24,78,55,0,1,77,0,36,1174
2024-07-01,123,58,0,0,123,0,36,1239
2024-07-08,117,102,0,0,117,0,36,1254
2024-07-15,91,63,0,0,91,0,36,1282
2024-07-22,73,72,0,0,73,0,36,1283
2024-07-29,98,62,0,0,98,0,36,1319
2024-08-05,102,62,0,0,102,0,36,1359
2024-08-12,61,76,0,0,61,0,36,1344
2024-08-19,77,38,0,0,77,0,36,1383
2024-08-26,78,26,0,0,78,0,36,1435
2024-09-02,171,93,0,0,170,1,36,1513
2024-09-09,168,75,0,0,168,0,36,1606
2024-09-16,95,44,0,1,94,0,36,1657
2024-09-23,87,94,0,1,84,2,36,1650
2024-09-30,137,34,0,1,136,0,36,1753
2024-10-07,127,103,0,1,125,1,36,1777
2024-10-14,75,53,0,0,75,0,36,1799
2024-10-21,96,38,0,0,96,0,36,1857
2024-10-28,92,151,0,0,92,0,36,1798
2024-11-04,130,57,0,0,130,0,36,1871
2024-11-11,89,55,0,0,89,0,36,1905
2024-11-18,97,30,0,0,97,0,36,1972
2024-11-25,70,35,0,0,70,0,36,2007
2024-12-02,72,39,0,0,72,0,36,2040
2024-12-09,78,55,0,1,77,0,36,2063
2024-12-16,142,143,0,3,139,0,36,2062
2024-12-23,107,74,0,0,107,0,36,2095
2024-12-30,70,33,0,0,70,0,36,2132
2025-01-06,110,105,0,0,110,0,36,2137
2025-01-13,104,35,0,0,104,0,36,2206
2025-01-20,108,54,0,0,108,0,36,2260
2025-01-27,145,77,0,0,145,0,36,2328
2025-02-03,103,95,0,1,102,0,36,2336
2025-02-10,103,44,0,0,103,0,36,2395
2025-02-17,90,39,0,0,90,0,36,2446
2025-02-24,96,37,0,0,96,0,36,2505
2025-03-03,102,63,0,0,102,0,36,2544
2025-03-10,117,74,0,0,117,0,36,2587
2025-03-17,86,46,0,0,85,1,36,2627
2025-03-24,103,20,0,0,103,0,36,2710
2025-03-31,348,167,0,1,347,0,36,2891
2025-04-07,175,93,0,1,174,0,36,2973
2025-04-14,141,68,0,0,141,0,36,3046
2025-04-21,98,95,0,0,98,0,36,3049
2025-04-28,102,80,0,0,102,0,36,3071
2025-05-05,103,69,0,0,103,0,36,3105
2025-05-12,162,117,0,0,162,0,36,3150
2025-05-19,135,71,0,0,135,0,36,3214
2025-05-26,101,42,0,0,101,0,36,3273
2025-06-02,92,33,0,0,92,0,36,3332
2025-06-09,70,39,0,0,70,0,36,3363
2025-06-16,94,68,0,0,94,0,36,3389
2025-06-23,87,48,0,0,87,0,36,3428
2025-06-30,109,46,0,0,109,0,36,3491
2025-07-07,130,182,0,0,130,0,36,3439
2025-07-14,103,35,0,1,102,0,36,3507
2025-07-21,74,38,0,1,73,0,36,3543
2025-07-28,89,46,0,0,89,0,36,3586
2025-08-04,89,62,0,0,89,0,36,3613
2025-08-11,108,39,0,0,108,0,36,3682
2025-08-18,108,86,0,0,108,0,36,3704
2025-08-25,109,63,0,2,107,0,36,3750
2025-09-01,155,75,0,1,154,0,36,3830
2025-09-08,106,47,0,0,106,0,36,3889
2025-09-15,86,64,0,0,86,0,36,3911
2025-09-22,102,65,0,0,102,0,36,3948
2025-09-29,84,61,0,0,84,0,36,3971
2025-10-06,97,77,0,0,97,0,36,3991
